date,year,month,day,tavg,tmin,tmax,wdir,wspd,humidity,uvindex,sunrise,sunset,durationday,season,wdirn
2017-02-21,2017,02,21,11.4,9.9,12.9,West,21.0,85.2,2,07:02:11,17:26:48,624,winter,260.0
2017-02-22,2017,02,22,12.0,10.7,13.6,WSW,27.9,82.6,2,07:00:08,17:28:36,628,winter,255.0
2017-02-23,2017,02,23,9.4,5.5,11.0,West,38.9,70.1,4,06:58:04,17:30:24,632,winter,265.0
2017-02-24,2017,02,24,5.5,2.2,9.1,WNW,14.5,64.9,4,06:55:59,17:32:11,636,winter,282.0
2017-02-25,2017,02,25,8.3,5.0,10.5,SW,20.3,80.7,2,06:53:53,17:33:59,640,winter,222.0
2017-02-26,2017,02,26,10.2,7.8,12.1,SW,23.4,84.0,4,06:51:47,17:35:46,643,winter,232.0
2017-02-27,2017,02,27,6.5,3.0,8.6,SW,17.3,86.3,2,06:49:39,17:37:32,647,winter,218.0
2017-02-28,2017,02,28,4.4,1.0,7.6,WSW,18.1,79.9,4,06:47:31,17:39:19,651,winter,250.0
2017-03-01,2017,03,01,6.9,5.1,9.1,WSW,16.6,79.4,4,06:45:22,17:41:05,655,winter,248.0
2017-03-02,2017,03,02,7.5,5.3,11.1,WSW,27.8,61.0,5,06:43:12,17:42:51,659,winter,252.0
2017-03-03,2017,03,03,8.0,4.8,11.3,SSE,13.3,82.9,1,06:41:02,17:44:36,663,winter,149.0
2017-03-04,2017,03,04,8.6,6.7,12.2,SW,15.0,77.7,4,06:38:50,17:46:22,667,winter,215.0
2017-03-05,2017,03,05,7.0,5.4,10.4,SW,22.1,79.8,4,06:36:39,17:48:07,671,winter,233.0
2017-03-06,2017,03,06,6.6,2.9,9.9,WNW,14.8,72.3,5,06:34:26,17:49:52,675,winter,292.0
2017-03-07,2017,03,07,7.3,4.0,11.4,West,12.5,73.1,5,06:32:13,17:51:36,679,winter,267.0
2017-03-08,2017,03,08,10.6,7.6,14.5,WSW,16.1,86.0,4,06:30:00,17:53:20,683,winter,245.0
2017-03-09,2017,03,09,11.9,8.7,15.6,WNW,15.6,66.1,5,06:27:46,17:55:04,687,winter,294.0
2017-03-10,2017,03,10,9.6,6.1,12.4,SSE,10.1,81.9,2,06:25:32,17:56:48,691,winter,158.0
2017-03-11,2017,03,11,12.4,10.3,16.9,South,8.5,78.0,5,06:23:17,17:58:31,695,winter,182.0
2017-03-12,2017,03,12,10.2,8.2,11.8,NW,6.2,77.7,2,06:21:02,18:00:15,699,winter,305.0
2017-03-13,2017,03,13,10.1,4.5,14.9,WNW,11.4,65.1,6,06:18:47,18:01:58,703,winter,303.0
2017-03-14,2017,03,14,11.1,7.0,14.6,West,14.5,82.0,6,06:16:31,18:03:40,707,winter,270.0
2017-03-15,2017,03,15,11.2,5.4,18.0,West,5.9,77.4,6,06:14:15,18:05:23,711,winter,264.0
2017-03-16,2017,03,16,8.3,3.7,12.1,SSW,11.4,83.0,3,06:11:59,18:07:05,715,winter,212.3448275862069
2017-03-17,2017,03,17,8.3,3.4,11.5,West,21.4,69.0,5,06:09:43,18:08:47,719,winter,267.0
2017-03-18,2017,03,18,12.1,9.7,14.0,West,24.7,83.2,5,06:07:26,18:10:29,723,winter,262.0
2017-03-19,2017,03,19,12.5,11.1,14.9,WSW,29.0,75.8,6,06:05:10,18:12:11,727,winter,254.0
2017-03-20,2017,03,20,10.5,6.2,12.5,WSW,20.9,84.1,2,06:02:53,18:13:53,731,winter,240.0
2017-03-21,2017,03,21,7.2,4.2,11.3,WSW,20.2,63.1,6,06:00:36,18:15:35,734,spring,247.0
2017-03-22,2017,03,22,7.3,5.3,10.3,SSE,16.8,77.9,2,05:58:19,18:17:16,738,spring,164.0
2017-03-23,2017,03,23,8.4,6.1,11.3,ENE,23.8,77.0,5,05:56:02,18:18:57,742,spring,66.0
2017-03-24,2017,03,24,8.7,6.4,13.2,ENE,23.0,75.6,6,05:53:45,18:20:38,746,spring,63.0
2017-03-25,2017,03,25,9.1,3.5,14.5,ENE,22.4,52.5,7,05:51:28,18:22:20,750,spring,57.0
2017-03-26,2017,03,26,10.0,6.0,15.0,SSW,16.603333333333335,65.0,6,06:49:11,19:24:01,754,spring,212.3448275862069
2017-03-27,2017,03,27,9.9,6.0,16.0,ENE,13.0,77.2,7,06:46:54,19:25:41,758,spring,75.0
2017-03-28,2017,03,28,10.8,5.7,16.5,South,13.5,77.4,6,06:44:37,19:27:22,762,spring,177.0
2017-03-29,2017,03,29,13.0,10.9,14.8,SW,18.6,80.3,3,06:42:21,19:29:03,766,spring,222.0
2017-03-30,2017,03,30,15.5,11.2,21.3,South,13.8,61.4,6,06:40:04,19:30:44,770,spring,185.0
2017-03-31,2017,03,31,13.2,9.7,17.0,SSW,15.2,65.8,7,06:37:48,19:32:24,774,spring,202.0
2017-04-01,2017,04,01,11.7,8.8,16.1,SW,14.3,69.3,6,06:35:32,19:34:05,778,spring,214.0
2017-04-02,2017,04,02,10.2,5.8,15.7,WSW,8.3,67.5,7,06:33:17,19:35:45,782,spring,241.79166666666666
2017-04-03,2017,04,03,10.2,2.6,17.2,WSW,10.6,72.1,7,06:31:01,19:37:26,786,spring,241.79166666666666
2017-04-04,2017,04,04,11.3,8.9,14.1,NW,10.2,79.2,5,06:28:46,19:39:06,790,spring,317.0
2017-04-05,2017,04,05,9.4,4.1,13.8,NNW,13.3,63.4,7,06:26:32,19:40:47,794,spring,336.0
2017-04-06,2017,04,06,10.5,3.9,16.8,NW,6.4,62.7,7,06:24:17,19:42:27,798,spring,313.0
2017-04-07,2017,04,07,10.1,3.0,15.9,NNW,7.0,63.3,7,06:22:04,19:44:08,802,spring,328.0
2017-04-08,2017,04,08,11.8,2.4,21.0,WSW,6.2,66.3,7,06:19:50,19:45:48,805,spring,241.79166666666666
2017-04-09,2017,04,09,14.4,4.3,24.8,SW,12.7,58.6,7,06:17:37,19:47:29,809,spring,215.0
2017-04-10,2017,04,10,10.4,8.0,12.9,NW,14.6,56.7,7,06:15:25,19:49:09,813,spring,323.0
2017-04-11,2017,04,11,10.3,4.8,15.8,WNW,12.7,58.5,7,06:13:13,19:50:49,817,spring,297.0
2017-04-12,2017,04,12,10.8,5.4,15.9,West,17.9,66.5,6,06:11:02,19:52:30,821,spring,274.0
2017-04-13,2017,04,13,9.4,4.4,12.4,NW,11.3,58.4,7,06:08:51,19:54:10,825,spring,307.0
2017-04-14,2017,04,14,10.9,6.3,14.3,West,15.0,61.5,6,06:06:42,19:55:50,829,spring,269.0
2017-04-15,2017,04,15,10.9,7.7,14.0,WNW,18.3,58.8,7,06:04:32,19:57:31,832,spring,297.0
2017-04-16,2017,04,16,10.1,5.4,14.0,West,15.3,61.8,7,06:02:24,19:59:11,836,spring,278.0
2017-04-17,2017,04,17,9.4,7.6,11.2,North,11.6,66.5,7,06:00:16,20:00:51,840,spring,4.0
2017-04-18,2017,04,18,7.8,3.6,12.1,NNE,16.4,57.8,8,05:58:09,20:02:31,844,spring,23.0
2017-04-19,2017,04,19,8.5,1.2,13.6,East,9.3,54.9,7,05:56:03,20:04:12,848,spring,91.0
2017-04-20,2017,04,20,10.2,5.6,15.1,WSW,10.6,61.3,4,05:53:58,20:05:52,851,spring,246.0
2017-04-21,2017,04,21,11.4,6.8,14.7,WSW,8.7,69.8,5,05:51:54,20:07:32,855,spring,241.79166666666666
2017-04-22,2017,04,22,11.3,7.4,15.8,North,11.4,65.3,8,05:49:50,20:09:12,859,spring,351.0
2017-04-23,2017,04,23,11.0,7.4,15.8,SSW,10.9,59.1,6,05:47:48,20:10:51,863,spring,211.0
2017-04-24,2017,04,24,9.2,4.5,13.5,WNW,12.4,72.7,4,05:45:47,20:12:31,866,spring,284.0
2017-04-25,2017,04,25,5.3,0.6,9.7,NNW,16.6,51.9,6,05:43:46,20:14:11,870,spring,330.0
